,date,state,PM2.5,CO,NO2,PM10,SO2
2827,2020-04-15,Alaska,1.8,NA,NA,NA,NA
2854,2020-04-16,Alaska,2,NA,NA,NA,NA
2880,2020-04-17,Alaska,2.6,NA,NA,NA,NA
2906,2020-04-18,Alaska,3,NA,NA,NA,NA
2933,2020-04-19,Alaska,7.6,NA,NA,NA,NA
2959,2020-04-20,Alaska,4.3,NA,NA,NA,NA
2986,2020-04-21,Alaska,5.4,NA,NA,NA,NA
3012,2020-04-22,Alaska,2.5,NA,NA,NA,NA
3038,2020-04-23,Alaska,1.7,NA,NA,NA,NA
3065,2020-04-24,Alaska,1.2,NA,NA,NA,NA
3091,2020-04-25,Alaska,5.7,NA,NA,NA,NA
3117,2020-04-26,Alaska,4.3,NA,NA,NA,NA
3144,2020-04-27,Alaska,6.1,NA,NA,NA,NA
3171,2020-04-28,Alaska,5.9,NA,NA,NA,NA
3198,2020-04-29,Alaska,6.6,NA,NA,NA,NA
3225,2020-04-30,Alaska,6.6,NA,NA,NA,NA
3252,2020-05-01,Alaska,3.3,NA,NA,NA,NA
3279,2020-05-02,Alaska,7.4,NA,NA,NA,NA
3305,2020-05-03,Alaska,4.2,NA,NA,NA,NA
3330,2020-05-04,Alaska,3.9,NA,NA,NA,NA
3354,2020-05-05,Alaska,1.4,NA,NA,NA,NA
3381,2020-05-06,Alaska,0.8,NA,NA,NA,NA
3408,2020-05-07,Alaska,4.5,NA,NA,NA,NA
3435,2020-05-08,Alaska,3.2,NA,NA,NA,NA
3462,2020-05-09,Alaska,1.8,NA,NA,NA,NA
3515,2020-05-11,Alaska,3.7,NA,NA,NA,NA
3542,2020-05-12,Alaska,1.6,NA,NA,NA,NA
3569,2020-05-13,Alaska,3,NA,NA,NA,NA
3595,2020-05-14,Alaska,2.9,NA,NA,NA,NA
3620,2020-05-15,Alaska,2.7,NA,NA,NA,NA
3646,2020-05-16,Alaska,4.1,NA,NA,NA,NA
3671,2020-05-17,Alaska,3.8,NA,NA,NA,NA
3696,2020-05-18,Alaska,3.9,NA,NA,NA,NA
3773,2020-05-21,Alaska,1.8,NA,NA,NA,NA
3800,2020-05-22,Alaska,0.8,NA,NA,NA,NA
3826,2020-05-23,Alaska,0.9,NA,NA,NA,NA
3853,2020-05-24,Alaska,-0.8,NA,NA,NA,NA
3880,2020-05-25,Alaska,3,NA,NA,NA,NA
3929,2020-05-27,Alaska,1.1,NA,NA,NA,NA
3955,2020-05-28,Alaska,2.5,NA,NA,NA,NA
3979,2020-05-29,Alaska,2.3,NA,NA,NA,NA
4004,2020-05-30,Alaska,3.1,NA,NA,NA,NA
4029,2020-05-31,Alaska,3.1,NA,NA,NA,NA
4055,2020-06-01,Alaska,0.2,NA,NA,NA,NA
4081,2020-06-02,Alaska,-0.7,NA,NA,NA,NA
4108,2020-06-03,Alaska,0.7,NA,NA,NA,NA
4135,2020-06-04,Alaska,2.7,NA,NA,NA,NA
4161,2020-06-05,Alaska,2.9,NA,NA,NA,NA
4188,2020-06-06,Alaska,4.7,NA,NA,NA,NA
4214,2020-06-07,Alaska,3.5,NA,NA,NA,NA
4241,2020-06-08,Alaska,2.4,NA,NA,NA,NA
4319,2020-06-11,Alaska,3,NA,NA,NA,NA
4346,2020-06-12,Alaska,3.7,NA,NA,NA,NA
4373,2020-06-13,Alaska,2.3,NA,NA,NA,NA
4400,2020-06-14,Alaska,2.5,NA,NA,NA,NA
4427,2020-06-15,Alaska,1.2,NA,NA,NA,NA
4453,2020-06-16,Alaska,2.5,NA,NA,NA,NA
4479,2020-06-17,Alaska,0.3,NA,NA,NA,NA
4505,2020-06-18,Alaska,-0.1,NA,NA,NA,NA
4532,2020-06-19,Alaska,1.7,NA,NA,NA,NA
4559,2020-06-20,Alaska,2.6,NA,NA,NA,NA
4586,2020-06-21,Alaska,1.3,NA,NA,NA,NA
4613,2020-06-22,Alaska,0.3,NA,NA,NA,NA
4640,2020-06-23,Alaska,0.6,NA,NA,NA,NA
4667,2020-06-24,Alaska,-0.4,NA,NA,NA,NA
4694,2020-06-25,Alaska,0.5,NA,NA,NA,NA
4720,2020-06-26,Alaska,0.2,NA,NA,NA,NA
4747,2020-06-27,Alaska,2.3,NA,NA,NA,NA
4774,2020-06-28,Alaska,1.5,NA,NA,NA,NA
4801,2020-06-29,Alaska,2.4,NA,NA,NA,NA
4828,2020-06-30,Alaska,2.5,NA,NA,NA,NA
