Country,Abb,X,Y,Time,Airline,Info,Source
Austria,AUT,14.141702,47.58705,11.06.2020,Austrian Airlines,"Austrian Long-Haul routes until 30SEP20, eff. as of 10JUN20",https://www.routesonline.com/news/38/airlineroute/291773/austrian-ns20-long-haul-inventory-adjustment-as-of-10jun20/
Austria,AUT,14.141702,47.58705,04.07.2020,Austrian Airlines,Vienna flights cancelled in favour of rail,https://www.railjournal.com/passenger/main-line/salzburg-vienna-flights-cancelled-in-favour-of-rail/
Austria,AUT,14.141702,47.58705,09.07.2020,Austrian Airlines,Austrian Airlines increases schedule to 40 percent until the end of October,https://worldairlinenews.com/2020/07/09/austrian-airlines-increases-schedule-to-40-percent-until-the-end-of-october/
Austria,AUT,14.141702,47.58705,10.07.2020,Austrian Airlines,Austrian July - October 2020 Inter-continental network as of 09JUL20,https://www.routesonline.com/news/38/airlineroute/292381/austrian-july-october-2020-inter-continental-network-as-of-09jul20/
Austria,AUT,14.141702,47.58705,15.07.2020,Austrian Airlines,Austrian Airlines suspends more services,https://www.businesstraveller.com/business-travel/2020/07/15/austrian-airlines-suspends-more-services/
Austria,AUT,14.141702,47.58705,16.07.2020,Austrian Airlines,Austrian Airlines 15 ?€? 31JUL20 service cancellations as of 16JUL20,https://www.routesonline.com/news/38/airlineroute/292501/austrian-airlines-15-31jul20-service-cancellations-as-of-16jul20/
Austria,AUT,14.141702,47.58705,10.06.2020,Laudamotion,Laudamotion To Reopen Vienna Base July 1 But Reduce Crew,https://aviationweek.com/air-transport/airlines-lessors/laudamotion-reopen-vienna-base-july-1-reduce-crew
Austria,AUT,14.141702,47.58705,27.06.2020,RyanAir,"Ryanair opens 64 routes from Vienna on July 1, 2020",https://worldairlinenews.com/2020/06/27/ryanair-opens-64-routes-from-vienna-on-july-1-2020/
Azerbaijan,AZE,50.010647,40.392295,25.06.2020,Azerbajan Airlines,Azerbaijan Airlines and Turkish Airlines to operate Baku-Istanbul services from Jul-2020,https://centreforaviation.com/news/azerbaijan-airlines-and-turkish-airlines-to-operate-baku-istanbul-services-from-jul-2020-1006885
Azerbaijan,AZE,50.010647,40.392295,07.07.2020,Azerbajan Airlines,Azerbaijan Airlines plans A340 Bodrum service in Aug 2020,https://www.routesonline.com/news/38/airlineroute/292287/azerbaijan-airlines-plans-a340-bodrum-service-in-aug-2020/
Azerbaijan,AZE,50.010647,40.392295,17.07.2020,Azerbajan Airlines,Azerbaijan Airlines resumes flights from Baku to Berlin,https://www.aviation24.be/airlines/azerbaijan-airlines/azerbaijan-airlines-resumes-flights-from-baku-to-berlin/
Azores Islands,PRT,-25.494913,37.77694,,,,
Bahamas,BHS,-78.051117,24.695466,03.07.2020,Silver Airways,Silver Airways July 2020 Bahamas operations as of 01JUL20,https://www.routesonline.com/news/38/airlineroute/292242/silver-airways-july-2020-bahamas-operations-as-of-01jul20/
Bahrain,BHR,50.547509,26.054724,02.06.2020,Gulf Air,Gulf Air June 2020 Pakistan operations as of 31MAY20,https://www.routesonline.com/news/38/airlineroute/291573/gulf-air-june-2020-pakistan-operations-as-of-31may20/
Bahrain,BHR,50.547509,26.054724,06.07.2020,Gulf Air,Gulf Air resumes scheduled UAE passenger flights from 05JUL20,https://www.routesonline.com/news/38/airlineroute/292270/gulf-air-resumes-scheduled-uae-passenger-flights-from-05jul20/
Baker Island,UMI,-176.47834,0.194787,,,,
Bangladesh,BGD,90.28042,23.927884,18.06.2020,US Bangla,US-Bangla Airlines June 2020 operations,https://www.routesonline.com/news/38/airlineroute/291900/us-bangla-airlines-june-2020-operations/
Bangladesh,BGD,90.28042,23.927884,29.05.2020,Biman Bangladesh,Bimban Bangladesh Airlines outlines limited domestic flights in June 2020,https://www.routesonline.com/news/38/airlineroute/291507/bimban-bangladesh-airlines-outlines-limited-domestic-flights-in-june-2020/
Bangladesh,BGD,90.28042,23.927884,07.07.2020,Biman Bangladesh,Biman Bangladesh Airlines July 2020 International service as of 03JUL20,https://www.routesonline.com/news/38/airlineroute/292289/biman-bangladesh-airlines-july-2020-international-service-as-of-03jul20/
